,id,titulo,lingua_original,lancamento,popularidade,media_dos_votos,qtds_votos,tipo_de_midia,adulto
81,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
82,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
83,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
84,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
85,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
86,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
87,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
88,95558,,Ingles,,64.625,8.0,8,Tv,False
89,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
90,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
91,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
92,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
93,158876,,Chines,,58.304,8.4,9,Tv,False
94,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
95,117465,,Japones,,62.392,10.0,4,Tv,False
96,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
97,208891,,Japones,,59.825,8.667,3,Tv,False
98,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
99,82856,,Ingles,,1108.646,8.488,8697,Tv,False
100,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
101,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
102,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
103,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
104,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
105,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
106,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
107,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
108,95558,,Ingles,,64.625,8.0,8,Tv,False
109,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
110,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
111,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
112,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
113,158876,,Chines,,58.304,8.4,9,Tv,False
114,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
115,117465,,Japones,,62.392,10.0,4,Tv,False
116,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
117,208891,,Japones,,59.825,8.667,3,Tv,False
118,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
119,82856,,Ingles,,1108.646,8.488,8697,Tv,False
120,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
121,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
122,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
123,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
124,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
125,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
126,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
127,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
128,95558,,Ingles,,64.625,8.0,8,Tv,False
129,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
130,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
131,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
132,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
133,158876,,Chines,,58.304,8.4,9,Tv,False
134,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
135,117465,,Japones,,62.392,10.0,4,Tv,False
136,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
137,208891,,Japones,,59.825,8.667,3,Tv,False
138,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
139,82856,,Ingles,,1108.646,8.488,8697,Tv,False
140,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
141,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
142,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
143,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
144,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
